12.10.2021 17:25:39	, документ=614162689000211978	, товар=614162702000294979	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
12.10.2021 17:38:00	, документ=614163446000259096	, товар=614163450000293097	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
12.10.2021 17:40:41	, документ=614163614000263140	, товар=614163619000206141	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
12.10.2021 17:41:30	, документ=614163647000227153	, товар=614163651000251158	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
12.10.2021 18:00:18	, документ=614164617000263226	, товар=614164621000218227	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
12.10.2021 18:04:44	, документ=614165058000222247	, товар=614165065000257248	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
13.10.2021 10:13:05	, документ=614236664000284352	, товар=614236710000256354	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010466002994402821iAkSeQOPDRqYX240640391ffd0924uZxPRfSOH8/plHHwPeON0xVLmfd9pjdfwHFRM782HCLItH3Hb0YbJDAwRIPY4KZMTcOe0z733k9tgw2OqmkMg==
13.10.2021 10:22:34	, документ=614237317000232366	, товар=614237328000288367	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010466002994880421%5morUpj;g5=p91003A929wqhe90Fgi2gOEaCkt48yo+LM6A5VSfPBcyeKai0sscokQXkdAA4nTcuuD/ARL7LMTWDe0RmCeesvbKv7gZiPg==
13.10.2021 16:11:55	, документ=614258196000225435	, товар=614258264000293436	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010463006598741921S/I*2VOQdE%F%91003A92bQewaId0Du3RLl+6oNHSVqvqpm4e+jQMU9u1FHztHbZf9QCySBUPgBA4pbiiUzCYDytwkUmO99IK0pyE5/kolQ==
13.10.2021 16:33:54	, документ=614258487000251450	, товар=614258501000258451	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010463006598741921S/I*2VOQdE%F%91003A92bQewaId0Du3RLl+6oNHSVqvqpm4e+jQMU9u1FHztHbZf9QCySBUPgBA4pbiiUzCYDytwkUmO99IK0pyE5/kolQ==
13.10.2021 22:14:33	, документ=614279970000225561	, товар=614279977000297562	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = FNC1010465007519014221dXGS91)8023
14.10.2021 1:07:55	, документ=614302101000264590	, товар=614302125000248591	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = b.	010463006598741921S/I*2VOQdE%F%91003A92bQewaId0Du3RLl+6oNHSVqvqpm4e+jQMU9u1FHztHbZf9QCySBUPgBA4pbiiUzCYDytwkUmO99IK0pyE5/kolQ==
14.10.2021 17:40:00	, документ=614363528000272012	, товар=614363535000222013	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = b.	010463006598741921S/I*2VOQdE%F%91003A92bQewaId0Du3RLl+6oNHSVqvqpm4e+jQMU9u1FHztHbZf9QCySBUPgBA4pbiiUzCYDytwkUmO99IK0pyE5/kolQ==
14.10.2021 23:23:14	, документ=614384032000237146	, товар=614384047000224147	, тип расчёта=Default	, тип документа=0	, цена = 64800	, матрикс = 010290000066650421Jsid2E"4oh2=D91002a92/1tPzrragHUbOA+cq0FIp54OZZF6GcVCJhA9W6Mnb7W6LvZEn9r9thrj+HsBFpqyH/zl5Ri6pXxF3HTwjuWeKG==
